rank	file	frame	status	res_before	res_after	n_match	spread
1575	1575_nbacourt_1678_frame_0009_png.rf.d19199.jpg	nbacourt_1678_frame_0009_png.rf.d19199	SNAPPED	1.574129343032837	0.48024946451187134	66	0.279
1576	1576_nbacourt_0625_frame_0003_png.rf.6b5229.jpg	nbacourt_0625_frame_0003_png.rf.6b5229	SNAPPED	1.472731351852417	0.4797593951225281	92	0.392
1577	1577_nbacourt_1921_frame_0019_png.rf.0be75c.jpg	nbacourt_1921_frame_0019_png.rf.0be75c	SNAPPED	1.0924879312515259	0.47960394620895386	78	0.157
1578	1578_nbacourt_1552_frame_0008_png.rf.7ee4ec.jpg	nbacourt_1552_frame_0008_png.rf.7ee4ec	SNAPPED	1.171919822692871	0.4790809750556946	124	0.338
1579	1579_nbacourt_0891_frame_0004_png.rf.ac2194.jpg	nbacourt_0891_frame_0004_png.rf.ac2194	SNAPPED	0.5853633284568787	0.47857117652893066	93	0.258
1580	1580_nbacourt_1067_frame_0005_png.rf.8d6006.jpg	nbacourt_1067_frame_0005_png.rf.8d6006	SNAPPED	1.7576806545257568	0.47839492559432983	142	0.356
1581	1581_nbacourt_0347_frame_0002_png.rf.12a6ee.jpg	nbacourt_0347_frame_0002_png.rf.12a6ee	SNAPPED	1.5000122785568237	0.47739988565444946	86	0.249
1582	1582_nbacourt_0429_frame_0002_png.rf.864a5d.jpg	nbacourt_0429_frame_0002_png.rf.864a5d	SNAPPED	1.1602914333343506	0.4772791266441345	90	0.305
1583	1583_nbacourt_1094_frame_0005_png.rf.b1d06c.jpg	nbacourt_1094_frame_0005_png.rf.b1d06c	SNAPPED	0.6713540554046631	0.4771161675453186	102	0.319
1584	1584_nbacourt_0373_frame_0002_png.rf.3f33ad.jpg	nbacourt_0373_frame_0002_png.rf.3f33ad	SNAPPED	0.7715737223625183	0.4769797623157501	87	0.408
1585	1585_nbacourt_1687_frame_0009_png.rf.f066da.jpg	nbacourt_1687_frame_0009_png.rf.f066da	SNAPPED	0.9447115063667297	0.4767652153968811	75	0.321
1586	1586_nbacourt_1002_frame_0005_png.rf.39a105.jpg	nbacourt_1002_frame_0005_png.rf.39a105	SNAPPED	1.5134605169296265	0.47611379623413086	112	0.305
1587	1587_nbacourt_0659_frame_0003_png.rf.9879db.jpg	nbacourt_0659_frame_0003_png.rf.9879db	SNAPPED	1.4979671239852905	0.47605153918266296	92	0.203
1588	1588_nbacourt_2171_frame_0000_png.rf.67a95c.jpg	nbacourt_2171_frame_0000_png.rf.67a95c	SNAPPED	3.0454654693603516	0.47557780146598816	53	0.385
1589	1589_nbacourt_1988_frame_0000_png.rf.b18d88.jpg	nbacourt_1988_frame_0000_png.rf.b18d88	SNAPPED	1.0137543678283691	0.47525107860565186	81	0.625
1590	1590_nbacourt_1733_frame_0010_png.rf.a6e78f.jpg	nbacourt_1733_frame_0010_png.rf.a6e78f	SNAPPED	1.9193474054336548	0.4752225875854492	80	0.236
1591	1591_nbacourt_1209_frame_0006_png.rf.40ac15.jpg	nbacourt_1209_frame_0006_png.rf.40ac15	SNAPPED	2.3963027000427246	0.47459858655929565	111	0.479
1592	1592_nbacourt_2044_frame_0004_png.rf.3f198a.jpg	nbacourt_2044_frame_0004_png.rf.3f198a	SNAPPED	1.1938589811325073	0.47456806898117065	166	0.419
1593	1593_nbacourt_0076_frame_0000_png.rf.90e088.jpg	nbacourt_0076_frame_0000_png.rf.90e088	SNAPPED	1.259617567062378	0.47397539019584656	69	0.366
1594	1594_nbacourt_0654_frame_0003_png.rf.92d6d1.jpg	nbacourt_0654_frame_0003_png.rf.92d6d1	SNAPPED	0.9549049735069275	0.4737909734249115	120	0.213
1595	1595_nbacourt_0751_frame_0004_png.rf.0a0adb.jpg	nbacourt_0751_frame_0004_png.rf.0a0adb	SNAPPED	1.6924467086791992	0.4736637473106384	77	0.243
1596	1596_nbacourt_2161_frame_0016_png.rf.05e78b.jpg	nbacourt_2161_frame_0016_png.rf.05e78b	SNAPPED	0.8543667197227478	0.4735570251941681	202	0.317
1597	1597_nbacourt_1480_frame_0007_png.rf.f1cf2a.jpg	nbacourt_1480_frame_0007_png.rf.f1cf2a	SNAPPED	1.3398784399032593	0.4731047749519348	63	0.336
1598	1598_nbacourt_1535_frame_0008_png.rf.5bdb38.jpg	nbacourt_1535_frame_0008_png.rf.5bdb38	SNAPPED	1.9234857559204102	0.4720503091812134	92	0.407
1599	1599_nbacourt_1729_frame_0010_png.rf.962f7a.jpg	nbacourt_1729_frame_0010_png.rf.962f7a	SNAPPED	1.1531000137329102	0.47194766998291016	81	0.357
1600	1600_nbacourt_1438_frame_0007_png.rf.aaf7ae.jpg	nbacourt_1438_frame_0007_png.rf.aaf7ae	KEPT	0.47096818685531616	0.47096818685531616	88	0.313
