rank	file	frame	game	floor_frac	old-aug_sane	old-aug_res	old-aug_match	old-aug_pts	NEW-33_sane	NEW-33_res	NEW-33_match	NEW-33_pts	NEW-grid_sane	NEW-grid_res	NEW-grid_match	NEW-grid_pts
553	0553_qAeUUwn-A8s_s1020_t0300.jpg	qAeUUwn-A8s_s1020_t0300	2024 DEN@MIN	0.536	1	4.559828758239746	52	9	1	5.267475128173828	71	11	1	6.367042541503906	52	43
554	0554_92fLApYaCGI_s5580_t0078.jpg	92fLApYaCGI_s5580_t0078	1998 CHI@UTA	0.201	1	nan	16	22	1	4.259889125823975	30	15	1	6.358866214752197	26	44
555	0555_H56iR3188P0_s1620_t0264.jpg	H56iR3188P0_s1620_t0264	2013 SAS@MIA	0.191	1	6.014989376068115	41	15	1	5.513912200927734	33	12	1	6.330332279205322	48	41
556	0556_qAeUUwn-A8s_s4200_t0204.jpg	qAeUUwn-A8s_s4200_t0204	2024 DEN@MIN	0.451	1	5.46865701675415	50	12	1	5.403628826141357	65	12	1	6.292135715484619	69	31
557	0557_92fLApYaCGI_s3480_t0266.jpg	92fLApYaCGI_s3480_t0266	1998 CHI@UTA	0.240	0	nan	0	13	1	5.499945163726807	43	14	1	6.286555290222168	32	42
558	0558_H56iR3188P0_s6540_t0058.jpg	H56iR3188P0_s6540_t0058	2013 SAS@MIA	0.163	1	5.246795177459717	45	16	1	nan	19	16	1	6.267288684844971	32	51
559	0559_H56iR3188P0_s4080_t0060.jpg	H56iR3188P0_s4080_t0060	2013 SAS@MIA	0.335	1	5.641401290893555	28	12	1	6.148776054382324	25	9	1	6.220829010009766	30	33
560	0560_H56iR3188P0_s6540_t0082.jpg	H56iR3188P0_s6540_t0082	2013 SAS@MIA	0.146	0	nan	0	0	1	4.499999046325684	66	16	1	6.2089924812316895	36	23
561	0561_qAeUUwn-A8s_s4200_t0246.jpg	qAeUUwn-A8s_s4200_t0246	2024 DEN@MIN	0.394	1	5.106847286224365	62	12	1	3.5755555629730225	84	14	1	6.176268100738525	49	39
562	0562_qAeUUwn-A8s_s1020_t0146.jpg	qAeUUwn-A8s_s1020_t0146	2024 DEN@MIN	0.471	1	5.046665191650391	40	10	1	4.5453338623046875	52	14	1	6.175075531005859	28	43
