rank	file	frame	n_code2	flag	verts_on	med_px	support
919	0919_nbacourt_0904_frame_0004_png.rf.c336b0.jpg	nbacourt_0904_frame_0004_png.rf.c336b0	6	-	13	17.60	0.232
920	0920_nbacourt_1314_frame_0006_png.rf.e1cc4a.jpg	nbacourt_1314_frame_0006_png.rf.e1cc4a	6	-	11	17.60	0.235
921	0921_nbacourt_1355_frame_0007_png.rf.18f252.jpg	nbacourt_1355_frame_0007_png.rf.18f252	5	-	11	17.60	0.280
922	0922_nbacourt_1396_frame_0007_png.rf.56f8d7.jpg	nbacourt_1396_frame_0007_png.rf.56f8d7	6	-	13	17.60	0.242
923	0923_nbacourt_1474_frame_0007_png.rf.e9d502.jpg	nbacourt_1474_frame_0007_png.rf.e9d502	5	-	11	17.60	0.280
924	0924_nbacourt_1289_frame_0006_png.rf.c5b546.jpg	nbacourt_1289_frame_0006_png.rf.c5b546	5	-	13	17.59	0.185
925	0925_nbacourt_2052_frame_0004_png.rf.a63d4a.jpg	nbacourt_2052_frame_0004_png.rf.a63d4a	7	-	18	17.59	0.221
926	0926_nbacourt_1714_frame_0010_png.rf.648b17.jpg	nbacourt_1714_frame_0010_png.rf.648b17	7	-	16	17.58	0.257
927	0927_nbacourt_0411_frame_0002_png.rf.6e9154.jpg	nbacourt_0411_frame_0002_png.rf.6e9154	8	-	20	17.51	0.173
928	0928_nbacourt_0451_frame_0002_png.rf.9ff731.jpg	nbacourt_0451_frame_0002_png.rf.9ff731	5	-	12	17.51	0.157
929	0929_nbacourt_0892_frame_0004_png.rf.ae5f2a.jpg	nbacourt_0892_frame_0004_png.rf.ae5f2a	6	-	12	17.51	0.330
930	0930_nbacourt_1009_frame_0005_png.rf.484cbd.jpg	nbacourt_1009_frame_0005_png.rf.484cbd	6	-	15	17.51	0.317
931	0931_nbacourt_1435_frame_0007_png.rf.a8c635.jpg	nbacourt_1435_frame_0007_png.rf.a8c635	6	-	14	17.51	0.387
932	0932_nbacourt_2040_frame_0003_png.rf.fef9f5.jpg	nbacourt_2040_frame_0003_png.rf.fef9f5	7	-	16	17.51	0.177
933	0933_nbacourt_2072_frame_0005_png.rf.d51900.jpg	nbacourt_2072_frame_0005_png.rf.d51900	6	-	13	17.51	0.276
934	0934_nbacourt_1931_frame_0019_png.rf.e7e4b9.jpg	nbacourt_1931_frame_0019_png.rf.e7e4b9	7	-	19	17.50	0.299
935	0935_nbacourt_1979_frame_0036_png.rf.ff6d71.jpg	nbacourt_1979_frame_0036_png.rf.ff6d71	5	-	10	17.50	0.289
936	0936_nbacourt_0848_frame_0004_png.rf.78d2b5.jpg	nbacourt_0848_frame_0004_png.rf.78d2b5	6	-	15	17.48	0.267
937	0937_nbacourt_0982_frame_0005_png.rf.207286.jpg	nbacourt_0982_frame_0005_png.rf.207286	6	-	15	17.48	0.202
938	0938_nbacourt_1367_frame_0007_png.rf.2a8b03.jpg	nbacourt_1367_frame_0007_png.rf.2a8b03	5	-	14	17.48	0.255
939	0939_nbacourt_0967_frame_0005_png.rf.10bc92.jpg	nbacourt_0967_frame_0005_png.rf.10bc92	6	-	15	17.48	0.274
